"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKR032W",0.726347375771382,3.15972348459506,1.86080599190084,1.69804025693585,0.089500164064348,0.170172345598415
"YKL132C",35.8042312590641,0.656983616481926,0.252896485641351,2.59783608623821,0.00938132642669511,0.0255019549566818
"YKL223W",0.440385279919106,-2.07493635405165,2.24591191163716,-0.923872545178819,0.35555267891871,0.49789720638279
"YKL078W",97.0885028063409,-0.263210884522676,0.146205804314817,-1.80027657421806,0.0718169779384926,0.142092804048497
"YKL001C",1410.5669518359,-0.227711445522687,0.0386010441204679,-5.89910067748516,3.65488183020974e-09,3.42702126818391e-08
"YKR040C",0.135508341636736,1.09256570077238,3.5338115409304,0.309174863491651,0.757188513837007,NA
"YKL046C",660.253810475795,0.153896872213589,0.0581954064377975,2.64448487662136,0.00818153626723457,0.0227018580421064
"YKR017C",504.181830545189,-0.223403752701224,0.0650195468111389,-3.4359475520514,0.000590485272474674,0.00224090357602722
"YKL058W",338.556785292312,0.132804966335643,0.0813205708301062,1.63310420696747,0.102447081959625,0.189832676042799
"YKL208W",113.85217976051,0.12546175393353,0.147557733363039,0.850255361573319,0.395183128338225,0.538244019769062
"YKR005C",186.765149982314,0.216692914645243,0.104502924060818,2.07355838693214,0.0381203432882609,0.0840264405125453
"YKR034W",53.3916137526751,0.16354550700967,0.203826430738137,0.802376347451146,0.422335290782653,0.563171006264396
"YKL060C",20404.1445013632,0.185281757356418,0.0106665337147377,17.3703812608231,1.38303944988605e-67,1.0300500630174e-65
"YKL030W",1.32930882693033,2.35836564417827,1.46509362220595,1.60970303087345,0.107462702987285,0.197285869853969
"YKL162C-A",23.8499630738288,0.222308512496208,0.300063127537253,0.740872476804427,0.458770765033446,0.597367767867801
"YKR091W",565.6826327217,0.0941334023663485,0.0617228872329378,1.52509719791778,0.127234856030021,0.226787393641761
"YKL096C-B",6.20575863840122,-0.794036294588605,0.583098927319966,-1.3617522814493,0.173276075648559,0.289633103749212
"YKL171W",1315.05727232743,0.0218519816222225,0.0400328694760626,0.545850994650502,0.585168366583271,0.707208828063205
"YKL025C",524.617706345811,-0.097056075519517,0.0632154277892435,-1.53532260895388,0.124704603232113,0.223005175875381
"YKL023W",876.330844426348,0.038906018756751,0.0533860806510215,0.728767092139149,0.466144144523104,0.604267288415751
"tR(UCU)K",0.992329184737911,-0.366151468806921,1.48561699352498,-0.246464243747064,0.805322880202752,0.877341448944289
"YKL215C",740.683015294482,0.0145240329996375,0.0541027693488482,0.268452672098692,0.788350900361706,0.865629407078625
"YKL136W",5.36739558989155,-1.10218612277284,0.63739443409478,-1.72920575363691,0.0837722769710226,0.161057055813459
"YKL033W",277.034244136592,-0.520531576357874,0.0909248550109274,-5.72485462083295,1.03522351640081e-08,9.20604467637845e-08
"YKR023W",372.880678148153,-0.0691394756305881,0.0840196755957489,-0.822896245913217,0.410566997729705,0.551517955138448
"YKR067W",1572.86291422824,0.247282715892275,0.0382466684621817,6.46547074124346,1.00983942576666e-10,1.14111855111632e-09
